maker,model,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Lexus,Lexus CT,15071,17673,14657,8903,4690,4.0,0.0,0.0,0.0,0
Lexus,Lexus IS,35017,51358,46430,37289,26482,22927.0,14920.0,13600.0,21998.0,21386
Lexus,Lexus RC,0,1922,14784,11165,7363,3358.0,4591.0,3808.0,2987.0,2648
Lexus,Lexus ES,72581,72508,64969,58299,51398,48484.0,51336.0,43292.0,45406.0,41735
Lexus,Lexus GS,19742,22198,23117,14878,7773,6604.0,3378.0,2560.0,76.0,2
Lexus,Lexus HS,5,0,0,0,0,0.0,0.0,0.0,0.0,0
Lexus,Lexus LC,0,0,0,0,2487,1979.0,1219.0,1325.0,2782.0,1387
Lexus,Lexus LFA,23,17,9,6,3,2.0,3.0,3.0,1.0,0
Lexus,Lexus LS,10727,8559,7165,5514,4094,9302.0,5528.0,3617.0,3739.0,2679
Lexus,Lexus UX,0,0,0,0,0,453.0,16725.0,16962.0,17581.0,10237
Lexus,Lexus NX,0,2927,43764,54884,59341,62079.0,58715.0,55784.0,58514.0,49002
Lexus,Lexus GX,12136,22685,25212,25148,27190,26724.0,25945.0,28519.0,32509.0,29945
Lexus,Lexus LX,4625,4052,3884,5707,6004,4753.0,4718.0,4512.0,3563.0,3642
Lexus,Lexus RX,103920,107490,100610,109435,108307,111641.0,111036.0,101059.0,115320.0,96041
Lincoln,Lincoln MKS,10793,8160,6877,4951,153,0.0,0.0,0.0,0.0,0
Lincoln,Lincoln MKZ,32361,34009,30901,30534,27387,19852.0,17725.0,12518.0,1681.0,0
Lincoln,Lincoln Continental,0,0,0,5261,12012,8758.0,6586.0,5262.0,1460.0,0
Lincoln,Lincoln MKC/Corsair,0,13077,24590,25562,27048,26241.0,25815.0,26227.0,22790.0,27668
Lincoln,Lincoln MKT,6014,4800,4696,4028,3005,2324.0,3388.0,329.0,0.0,0
Lincoln,Lincoln MKX,23913,23995,22199,30967,31031,25966.0,6059.0,0.0,0.0,0
Lincoln,Lincoln Nautilus,0,0,0,0,0,2607.0,25652.0,22742.0,24443.0,20635
Lincoln,Lincoln Aviator,0,0,0,0,0,0.0,8323.0,23080.0,20924.0,21977
Lincoln,Lincoln Navigator,8613,10433,11964,10421,10523,17839.0,18656.0,15252.0,15631.0,13206
Lucid Motors,Lucid Air,0,0,0,0,0,0.0,0.0,0.0,577.0,2656
Maserati,Maserati Unclassified,0,0,11700,12534,13711,11402.0,8150.0,5214.0,7682.0,6730
Maserati,Maserati Grecale,0,0,0,0,0,0.0,0.0,0.0,0.0,89
Mazda,Mazda Demio (Mazda 2),11757,13615,297,3,0,0.0,0.0,0.0,0.0,0
Mazda,Mazda Axela (Mazda 3),104713,104985,107885,95567,75018,64638.0,50741.0,33608.0,37653.0,27767
Mazda,Mazda MX05 (Miata),5780,4745,8591,9465,11294,8971.0,7753.0,8807.0,10547.0,6172
Mazda,Mazda Atenza (Mazda 6),43638,53224,57897,45520,33402,30938.0,21524.0,16204.0,16214.0,335
Mazda,Mazda RX08,1,1,0,0,0,0.0,0.0,0.0,0.0,0
Mazda,Mazda Premacy (Mazda 5),13884,11613,8609,375,10,0.0,0.0,0.0,0.0,0
Mazda,Mazda CX03,0,0,6406,18557,16355,16899.0,16229.0,8335.0,5100.0,0
Mazda,Mazda CX030,0,0,0,0,0,0.0,899.0,38064.0,60185.0,52808
Mazda,Mazda CX05,79544,99122,111450,112235,127563,150622.0,154545.0,146420.0,168448.0,151594
Mazda,Mazda MX030,0,0,0,0,0,0.0,0.0,0.0,116.0,324
Mazda,Mazda Tribute,2,0,0,0,0,0.0,0.0,0.0,0.0,0
Mazda,Mazda CX050,0,0,0,0,0,0.0,0.0,0.0,0.0,21329
Mazda,Mazda CX07,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Mazda,Mazda CX09,24628,18496,18048,16051,25828,28257.0,26861.0,27638.0,34493.0,34580
Mercedes0Benz,Mercedes0Benz A0Class,0,0,0,0,0,0.0,17641.0,15331.0,8092.0,5832
Mercedes0Benz,Mercedes0Benz CLA0Class,14113,27365,29643,25792,20669,22556.0,12400.0,10997.0,6849.0,14598
Mercedes0Benz,Mercedes0Benz C0Class,88251,75065,86080,77167,77447,60409.0,49153.0,26294.0,30648.0,26192
Mercedes0Benz,Mercedes0Benz SLC0Class (SLK0Class),0,0,0,3397,2860,1993.0,1840.0,2122.0,228.0,0
