Maker/Brand,Maker_Brand,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Mercedes0Benz,Mercedes0Benz S0Class,13303,25276,21934,18803,15888,14978,12528,8589,14161,15925
Mercedes0Benz,Mercedes0Benz SL0Class,7007,5030,4060,3722,2940,2126,1690,1782,460,2027
Mercedes0Benz,Mercedes0Benz SLS0Class,451,232,29,1,0,0,0,2,0,0
Mercedes0Benz,Mercedes0Benz B0Class,20,776,1906,632,744,135,8,1,1,0
Mercedes0Benz,Mercedes0Benz R0Class,30,8,4,0,0,0,0,0,0,0
Mercedes0Benz,Mercedes0Benz GLA0Class,0,6884,25593,24545,24104,24136,22137,25345,14194,14085
Mercedes0Benz,Mercedes0Benz GLB,0,0,0,0,0,0,1173,23183,26968,23274
Mercedes0Benz,Mercedes0Benz GLC0Class (GLK0Class),0,0,4569,47872,48643,69727,73650,52627,52106,65531
Mercedes0Benz,Mercedes0Benz GLK0Class,32553,35000,23333,0,0,0,0,0,0,0
Mercedes0Benz,Mercedes0Benz EQS SUV,0,0,0,0,0,0,0,0,0,884
Mercedes0Benz,Mercedes0Benz G0Class,2494,3090,3616,3950,4188,3970,7348,7723,8480,7018
Mercedes0Benz,Mercedes0Benz GL0Class,29912,26597,27707,0,0,0,0,0,0,0
Mercedes0Benz,Mercedes0Benz GLE0Class (M0Class/ML0Class),0,0,20663,51790,54595,46010,49980,48157,65198,63050
Mercedes0Benz,Mercedes0Benz GLS0Class (GL0Class),0,0,0,30442,32248,21972,22225,22172,24606,20853
Mercedes0Benz,Mercedes0Benz M0Class,41315,46706,32540,0,0,0,0,0,0,0
Mercedes0Benz,Mercedes0Benz ML0Class,11,20,10,1,0,0,0,0,0,0
Mercedes0Benz,Mercedes0Benz Sprinter,21816,25745,0,0,0,0,0,0,0,0
Mercedes0Benz,Mercedes0Benz Unclassified Van,0,0,29889,34304,34994,38178,41635,50999,55692,64185
Mercedes0Benz,Mercedes0Benz EQB,0,0,0,0,0,0,0,0,0,1672
MINI,MINI Cooper,26954,22843,34967,22438,18981,16400,14527,12455,13391,14374
MINI,MINI Clubman,5155,2613,492,12204,7739,4385,3565,2513,2719,2581
MINI,MINI Convertible,4460,3536,3098,4584,5512,5334,4031,3883,3380,3060
MINI,MINI Coupe,2540,956,460,8,0,0,0,0,0,0
MINI,MINI Roadster,2806,1437,1103,5,0,0,0,0,0,0
MINI,MINI Countryman,21325,22645,16686,12706,14864,17565,13969,9287,10440,9489
MINI,MINI Paceman,3262,2082,1708,85,9,0,0,0,0,0
Mitsubishi,Mitsubishi i0MiEV,1029,196,115,94,6,0,0,0,0,0
Mitsubishi,Mitsubishi Mirage,2935,16708,21515,22226,22386,24316,26966,19136,22741,15816
Mitsubishi,Mitsubishi Lancer,19451,16495,17691,14304,12725,3302,0,0,0,0
Mitsubishi,Mitsubishi Eclipse,40,0,0,0,0,0,0,0,0,0
Mitsubishi,Mitsubishi Eclipse Spyder,69,0,0,0,0,0,0,0,0,0
Mitsubishi,Mitsubishi Galant,1441,122,0,0,0,0,0,0,0,0
Mitsubishi,Mitsubishi Eclipse Cross,0,0,0,0,0,9485,19661,10319,8947,10718
Mitsubishi,Mitsubishi RVR (ASX/Outlander Sport),24951,31054,36966,33067,33160,39153,33644,28836,34216,16373
Mitsubishi,Mitsubishi Outlander,12287,13068,19055,26576,35409,41818,40775,29096,36133,42903
Mitsubishi,Mitsubishi Endeavor,24,0,0,0,0,0,0,0,0,0
Nissan,Nissan Cube,5461,3785,943,15,0,0,0,0,0,0
Nissan,Nissan Leaf,22610,30200,17269,14006,11230,14715,12365,9564,14239,12025
